FeedId,FeedMessage,LinkName,FeedType,FeedLink,PublishedDate,LikesCount,CommentsCount,SharesCount
265769886798719_1169240623118303,Saprissa no se ha quedado atrás en la polémica que se ha generado en torno a la habilitación de Marvin Angulo,¡Acta firmada! Saprissa le responde a Alajuelense | Crhoy.com,link      ,http://www.crhoy.com/acta-firmada-saprissa-le-responde-a-alajuelense/deportes/,4/5/2016 16:33,353,68,41
265769886798719_1169236349785397,"Caminá conmigo, uno al lado del otro, para que cuando me toque ir detrás de vos no me pienses amenaza, sino compañero, dice Juan Solá",El relato sobre acoso callejero que se volvió viral en redes | Crhoy.com,link      ,http://www.crhoy.com/el-relato-sobre-acoso-callejero-que-se-volvio-viral-en-redes/mundo/,4/5/2016 16:24,33,2,4
265769886798719_1169227279786304,El Mandatario afirma que es la mejor manera de reducir el hacinamiento en las cárceles,Solís y ministra de Justicia defienden plan de liberación de reos | Crhoy.com,link      ,http://www.crhoy.com/solis-y-ministra-de-justicia-defienden-plan-de-liberacion-de-reos/nacionales/,4/5/2016 16:07,53,204,40
265769886798719_1169215399787492,Venció 1-0 al Manchester City,¡Rumbo a Milán! Real Madrid estará en la final de la Champions | Crhoy.com,link      ,http://www.crhoy.com/rumbo-a-milan-real-madrid-estara-en-la-final-de-la-champions/deportes/,4/5/2016 15:43,1088,20,19
265769886798719_1169212123121153,Claudio Sisniega fue candidato a diputado para el Congreso Nacional de Guatemala,Guatemalteco asesinado en Moravia era candidato a diputado | Crhoy.com,link      ,http://www.crhoy.com/guatemalteco-asesinado-en-moravia-era-candidato-a-diputado/nacionales/,4/5/2016 15:35,46,2,2
265769886798719_1727321747509859,"AYUDA! Ella es Matti, se perdió el domingo 1 de mayo en los alrededores de Urbanización Alta Vista en Los Ángeles de Grecia. Por favor, si alguien la ha visto o sabe dónde está informe al 8322-9281 o por este medio. Su mama esta destrozada, realmente es como su hija. Es una viejita de 11 años, ha estado con ella desde que era cachorrita, de corazón necesitamos encontrarla... ?? Por favor ayudenme a compartir.",,photo     ,https://www.facebook.com/photo.php?fbid=1727321747509859&set=o.265769886798719&type=3,4/5/2016 15:29,0,0,0
265769886798719_1169196526456046,"Esconder una carta pidiendo auxilio en la tarea de su hijo, salvó a esta mujer de un final fatal",La tarea de su hijo la salvó del violento de su marido | Crhoy.com,link      ,http://www.crhoy.com/la-tarea-de-su-hijo-la-salvo-del-violento-de-su-marido/mundo/,4/5/2016 15:08,341,7,30
265769886798719_1169180009791031,"Al final de primer tiempo, el Madrid lleva la delantera en el marcador",Real Madrid se adelanta y sueña con la final | Crhoy.com,link      ,http://www.crhoy.com/real-madrid-se-adelanta-y-suena-con-la-final/deportes/,4/5/2016 14:40,170,2,2
265769886798719_1169166166459082,El jurista afirma que las actas de la sesión del Tribunal Disciplinario de ayer no fueron firmadas,Abogado de LDA: “Saprissa se expondría a pérdida de puntos si alinea a Angulo” | Crhoy.com,link      ,http://www.crhoy.com/abogado-de-lda-saprissa-se-expondria-a-perdida-de-puntos-si-alinea-a-angulo/deportes/,4/5/2016 14:16,532,440,149
265769886798719_1169147389794293,Diputada y una Asociación Ciudadana manifestaron preocupación y molestia por comentario racista y exigen disculpas,Piden a Buen Día ofrecer disculpas por comentario “racista” | Crhoy.com,link      ,http://www.crhoy.com/piden-a-buen-dia-ofrecer-disculpas-por-comentario-racista/nacionales/,4/5/2016 13:43,849,334,49
265769886798719_1169136893128676,La Unafut tomó la decisión de destituir al Tribunal Disciplinario pues la incertidumbre que generaban no era buena para el fútbol.,“Destitución de Tribunal Disciplinario no fue por presiones de nadie” | Crhoy.com,link      ,http://www.crhoy.com/destitucion-de-tribunal-disciplinario-no-fue-por-presiones-de-nadie/deportes/,4/5/2016 13:25,31,35,3
265769886798719_1169128233129542,¡crhoy.com los lleva al clásico! Deben ponerse en contacto con nosotros al 2210-8600 antes de las 2:00 p.m.,Timeline Photos,photo     ,https://www.facebook.com/crhoy.comnoticias/photos/a.305593816149659.68084.265769886798719/1169128233129542/?type=3,4/5/2016 13:07,20,10,3
265769886798719_1169125429796489,Navas buscará mantener su marco en cero goles,Real Madrid va con todo en busca de la final de Champions | Crhoy.com,link      ,http://www.crhoy.com/real-madrid-va-con-todo-en-busca-de-la-final-de-champions/deportes/,4/5/2016 13:03,458,3,5
265769886798719_1169112093131156,"La salida de la operación de Gallito, parte de la empresa Mondelez, responde a la ""globalización"" dice el Presidente","Salida de Mondelez es parte de la globalización, dice Solís | Crhoy.com",link      ,http://www.crhoy.com/salida-de-mondelez-es-parte-de-la-globalizacion-dice-solis/economia/,4/5/2016 12:38,140,274,71
265769886798719_1169095809799451,Esto dijo el exjugador saprissista sobre el clásico,Centeno: “La afición del Saprissa gana partidos” | Crhoy.com,link      ,http://www.crhoy.com/centeno-la-aficion-del-saprissa-gana-partidos/deportes/,4/5/2016 12:11,1171,86,32
265769886798719_1169080583134307,El allanamiento se realiza en este momento,Fiscalía allana oficinas de BCR por investigación a cliente | Crhoy.com,link      ,http://www.crhoy.com/fiscalia-allana-oficinas-de-bcr-por-investigacion-a-cliente/nacionales/,4/5/2016 11:39,214,11,23
265769886798719_1169075106468188,El capitán Louis Calvachi tomó la foto el pasado lunes 2 de mayo,Así se vio la erupción del Turrialba a 28 mil pies de altura | Crhoy.com,link      ,http://www.crhoy.com/asi-se-vio-la-erupcion-del-turrialba-a-28-mil-pies-de-altura/nacionales/,4/5/2016 11:29,346,7,15
265769886798719_1169071696468529,"La alcoholemia reportó 1,0 gramos de alcohol en la sangre del conductor",Chofer ebrio chocó contra bar en barrio Amón esta madrugada | Crhoy.com,link      ,http://www.crhoy.com/chofer-ebrio-choco-contra-bar-en-barrio-amon-esta-madrugada/nacionales/,4/5/2016 11:20,18,13,0
265769886798719_1169060206469678,Sus actuaciones y seguridad lo convierten en pieza clave del Madrid ante el City,Keylor será hombre determinante ante el City | Crhoy.com,link      ,http://www.crhoy.com/keylor-sera-hombre-determinante-ante-el-city/deportes/,4/5/2016 10:56,676,4,4
265769886798719_1169047286470970,El gobierno nicaragüense gastará 80 millones de dólares en equipo bélico,Tensión en Nicaragua por compra de tanques de guerra | Crhoy.com,link      ,http://www.crhoy.com/tension-en-nicaragua-por-compra-de-tanques-de-guerra/mundo/,4/5/2016 10:29,226,278,88
265769886798719_1169027253139640,"La fábrica será trasladada a Puebla, México","Planta Gallito cerrará el 30 de julio, 300 quedarán fuera | Crhoy.com",link      ,http://www.crhoy.com/planta-gallito-cerrara-el-30-de-julio-300-quedaran-fuera/economia/,4/5/2016 9:52,431,152,364
265769886798719_1169020679806964,"De acuerdo con una investigación del TEC, la bacteria podría estar relacionada con el cáncer gástrico",Bacteria en el agua acecha a vecinos de Cartago | Crhoy.com,link      ,http://www.crhoy.com/bacteria-en-el-agua-acecha-a-vecinos-de-cartago/nacionales/,4/5/2016 9:38,700,201,1751
265769886798719_1169002893142076,"La quebrada Rivera, en Tibás, es solo un ejemplo del estado en que se encuentran muchos de los ríos de nuestro país",Ríos y quebradas convertidos en botaderos son la constante | Crhoy.com,link      ,http://www.crhoy.com/rios-y-quebradas-convertidos-en-botaderos-son-la-constante/tecnologia/ambiente/,4/5/2016 9:13,121,52,28
265769886798719_1168994949809537,"Comparado al 2014, el país experimentó un importante descenso en el ranking del desarrollo global de las conexiones a la red.",Costa Rica con mala nota en calidad de internet | Crhoy.com,link      ,http://www.crhoy.com/costa-rica-con-mala-nota-en-calidad-de-internet/tecnologia/,4/5/2016 8:56,304,49,28
265769886798719_1168974223144943,"La ""limpieza extrema"" puede ocasionar más daños que beneficios",Nunca -por ningún motivo- limpie sus oídos | Crhoy.com,link      ,http://www.crhoy.com/nunca-por-ningun-motivo-limpie-sus-oidos/nacionales/,4/5/2016 8:32,100,38,56
265769886798719_1168967203145645,Porque no todo tiempo pasado fue mejor...,El antes y después de Los Vengadores | Crhoy.com,link      ,http://www.crhoy.com/el-antes-y-despues-de-los-vengadores/entretenimiento/,4/5/2016 8:17,384,53,82
265769886798719_1168951363147229,,Timeline Photos,photo     ,https://www.facebook.com/crhoy.comnoticias/photos/a.305593816149659.68084.265769886798719/1168951363147229/?type=3,4/5/2016 8:04,3727,139,850
265769886798719_1168950349813997,"Le han apodado ""la casa del horror"" por los terribles hechos descubiertos hace pocos días",La casa en Alemania donde se torturaban y mataban mujeres | Crhoy.com,link      ,http://www.crhoy.com/la-casa-en-alemania-donde-se-torturaban-y-mataban-mujeres/mundo/,4/5/2016 7:44,179,19,28
265769886798719_1168931363149229,"La adoración de pies es un tema del que muchos hablan en redes sociales,  y hay quienes pagan por besarlos o chuparlos...",En redes sociales piden “pies para adorar” a cambio de dinero | Crhoy.com,link      ,http://www.crhoy.com/en-redes-sociales-piden-pies-para-adorar-a-cambio-de-diner/tecnologia/redes-sociales/,4/5/2016 7:22,49,40,7
265769886798719_1168925266483172,"En el discurso del Sr. Presidente brillaron por su ausencia una serie de importantes temas, dice el abogado David Gutiérrez",¿Volver a creer? | Crhoy.com,link      ,http://www.crhoy.com/volver-a-creer/opinion/,4/5/2016 7:08,49,0,2
265769886798719_1168685616507137,Su apasionada forma de vivir los partidos se hizo viral,Jeffrey se convirtió en arma de motivación para Alajuelense | Crhoy.com,link      ,http://www.crhoy.com/jeffrey-se-convirtio-en-arma-de-motivacion-para-alajuelense/deportes/,3/5/2016 22:39,283,16,11
265769886798719_1168683833173982,Con base en el marco legal de Protección de Datos que rige en nuestro país,Cuentas bancarias creadas sin permiso pueden denunciarse en Prodhab | Crhoy.com,link      ,http://www.crhoy.com/cuentas-bancarias-creadas-sin-permiso-pueden-denunciarse-en-prodhab/economia/,3/5/2016 22:24,59,2,7
265769886798719_1168672533175112,La gota que derramó el vaso fue abrir de oficio una causa en contra del defensor Francisco Calvo del Saprissa,Destituyen al Tribunal Disciplinario de la Unafut | Crhoy.com,link      ,http://www.crhoy.com/destituyen-al-tribunal-disciplinario-de-la-unafut/deportes/,3/5/2016 21:16,1555,334,217
265769886798719_1168655229843509,Un cruzrojista resultó herido,Ambulancia choca contra camión en la ruta 27 | Crhoy.com,link      ,http://www.crhoy.com/ambulancia-choca-contra-camion-en-la-ruta-27/nacionales/,3/5/2016 20:52,56,3,4
265769886798719_1168649753177390,En los últimos 16 días el timonel ha atendido a los medios 9 veces,Javier Delgado pone la cara para no desconcentrar al equipo | Crhoy.com,link      ,http://www.crhoy.com/javier-delgado-pone-la-cara-para-no-desconcentrar-al-equipo/deportes/,3/5/2016 20:43,55,18,1
265769886798719_1168632219845810,"Llamó a Epsy Campbell y a Maureen Clarke ""las sobrinas de Cocorí""",Diputada: Comentario de asesor de modas refleja racismo | Crhoy.com,link      ,http://www.crhoy.com/diputada-comentario-de-asesor-de-modas-refleja-racismo/nacionales/,3/5/2016 20:08,557,334,141
265769886798719_1168628176512881,Ocurrió en San Vicente,Balacera deja 2 fallecidos en Moravia | Crhoy.com,link      ,http://www.crhoy.com/balacera-deja-2-fallecidos-en-moravia/nacionales/,3/5/2016 19:59,163,25,40
265769886798719_1168627666512932,Lo acaban de confirmar,Marvin Angulo podrá jugar ante Alajuelense | Crhoy.com,link      ,http://www.crhoy.com/marvin-angulo-podra-jugar-ante-alajuelense/deportes/,3/5/2016 19:58,3153,474,240
265769886798719_1168618953180470,La reconstrucción de un pozo de registro del alcantarillado sanitario provoca el caos vial,San José colapsa por una calle cerrada | Crhoy.com,link      ,http://www.crhoy.com/san-jose-colapsa-por-una-calle-cerrada/nacionales/,3/5/2016 19:36,225,117,128
265769886798719_1168600819848950,La niña recibe atención de un psicólogo,Niña sobreviviente a masacre en Matapalo ya salió del Hospital | Crhoy.com,link      ,http://www.crhoy.com/nina-sobreviviente-a-masacre-en-matapalo-ya-salio-del-hospital/nacionales/,3/5/2016 19:20,526,15,10
265769886798719_1168585816517117,"Según los representantes gremiales, tratarán de no provocar obstaculización del tráfico en la zona",Taxistas y autobuseros marcharán el jueves a Casa Presidencial | Crhoy.com,link      ,http://www.crhoy.com/taxistas-y-autobuseros-marcharan-el-jueves-a-casa-presidencial/nacionales/,3/5/2016 18:46,78,36,20
265769886798719_1168582059850826,Mencion en crhoy.com -,Diseñadores nacionales inundaron la pasarela del Fashion Week | Crhoy.com,link      ,http://www.crhoy.com/disenadores-nacionales-inundaron-la-pasarela-del-fashion-week/entretenimiento/,3/5/2016 18:36,8,0,0
265769886798719_1168574089851623,Llegaron a un acuerdo para poner fin al proceso penal,Sacerdote y familia de joven negocian acuerdo por atropello | Crhoy.com,link      ,http://www.crhoy.com/sacerdote-y-familia-de-joven-negocian-acuerdo-por-atropello/nacionales/,3/5/2016 18:17,278,117,44
265769886798719_1168566019852430,Crimen ocurrido el fin de semana en La Fortuna,Se entregó menor sospechoso de matar a padrastro | Crhoy.com,link      ,http://www.crhoy.com/se-entrego-menor-sospechoso-de-matar-a-padrastro/nacionales/,3/5/2016 17:55,45,5,2
265769886798719_1168556446520054,El hallazgo se dio en los mares de China,¿Este animal es un cocodrilo o un delfín? | Crhoy.com,link      ,http://www.crhoy.com/este-animal-es-un-cocodrilo-o-un-delfin/entretenimiento/,3/5/2016 17:34,189,58,29
265769886798719_1168545253187840,"Según su criterio, ¿cuáles son los logros de esta administración?",“Nuestra administración tiene logros que diputados no pueden refutar” | Crhoy.com,link      ,http://www.crhoy.com/nuestra-administracion-tiene-logros-que-diputados-no-pueden/nacionales/,3/5/2016 17:09,55,170,9
265769886798719_1168530753189290,Ya hay un brote de este virus en esta zona,Mujer de Alajuelita y su hijo de 3 años tienen Zika | Crhoy.com,link      ,http://www.crhoy.com/mujer-de-alajuelita-y-su-hijo-de-3-anos-tienen-zika/nacionales/,3/5/2016 16:50,542,52,224
265769886798719_1168513723190993,Si le gustan los espectáculos,Melissa Mora cantará en Nueva York y lanzará nuevo disco | Crhoy.com,link      ,http://www.crhoy.com/melissa-mora-cantara-en-nueva-york-y-lanzara-nuevo-disco/entretenimiento/,3/5/2016 16:16,479,555,42
265769886798719_1168507696524929,,,status    ,,3/5/2016 16:01,0,0,0
265769886798719_1168506596525039,El equipo colchonero jugará la final en Milán,Atlético de Madrid se adueñó de Munich y está en la final de Champions | Crhoy.com,link      ,http://www.crhoy.com/atletico-de-madrid-se-adueno-de-munich-y-esta-en-la-final-de-champions/deportes/,3/5/2016 15:58,1317,50,16
265769886798719_1168495276526171,"La discusión, para ver si levantan la inmunidad de varios congresistas turcos, terminó a golpes (Video)",Discusión termina a golpes en Parlamento turco | Crhoy.com,link      ,http://www.crhoy.com/discusion-termina-a-golpes-en-parlamento-turco/mundo/,3/5/2016 15:32,33,5,4
265769886798719_1168484976527201,"Carlos Watson habló de forma amplia con el jugador y si bien lo respaldan, no consideran conveniente que esté en el campo de juego",David Guzmán dio su versión al Saprissa | Crhoy.com,link      ,http://www.crhoy.com/david-guzman-dio-su-version-al-saprissa/deportes/,3/5/2016 15:13,291,48,3
265769886798719_1168479026527796,Volverá con un nuevo programa de concursos,Chabelo aseguró que regresará a televisión | Crhoy.com,link      ,http://www.crhoy.com/chabelo-aseguro-que-regresara-a-television/entretenimiento/,3/5/2016 15:03,42,47,5
265769886798719_1168460776529621,En un bosque paradisíaco vive una comunidad de jóvenes viajeros,"Never-Never Land, la isla “hippie” de Nicaragua | Crhoy.com",link      ,http://www.crhoy.com/never-never-land-la-isla-hippie-de-nicaragua/entretenimiento/,3/5/2016 14:27,672,82,86
265769886798719_1168454193196946,2 a 0 empata saprissa y pasa,,status    ,,3/5/2016 14:14,0,0,0
265769886798719_1168449706530728,"Colaboradores aseguran que no ""le quita el ojo a las encuestas"" y que se siente feliz de ver el apoyo de la gente",Arias “contento con el respaldo de la gente” | Crhoy.com,link      ,http://www.crhoy.com/arias-contento-con-el-respaldo-de-la-gente/nacionales/,3/5/2016 14:05,407,402,59
265769886798719_1168442189864813,Afirmó que deben superar todos los obstáculos que se presenten,Carlos Watson: “100% convencidos de que vamos a remontar” | Crhoy.com,link      ,http://www.crhoy.com/carlos-watson-100-convencidos-de-que-vamos-a-remontar/deportes/,3/5/2016 13:49,1089,112,23
265769886798719_1168429289866103,La familia del pequeño se vio obligada a abandonar su país tras una serie de amenazas,Niño afgano que admira a Messi recibió amenazas | Crhoy.com,link      ,http://www.crhoy.com/nino-afgano-que-admira-a-messi-recibio-amenazas/deportes/,3/5/2016 13:25,200,16,7
265769886798719_1168427283199637,Les compartimos esta nota de crhoy.com sobre nuestros créditos para vivienda y convenios con diferentes empresas de desarrollo inmobiliario destinados para aquellas personas interesadas en adquirir su casa propia.,Popular ofrece créditos de ¢7.500 en adelante para vivienda | Crhoy.com,link      ,http://www.crhoy.com/popular-ofrece-creditos-de-¢7-500-en-adelante-para-vivienda/economia/,3/5/2016 13:22,210,44,119
265769886798719_1168408793201486,Realizarán una feria de empleo el 6 y 7 de mayo,Amazon contratará a 700 personas en próximos 3 meses | Crhoy.com,link      ,http://www.crhoy.com/amazon-contratara-a-700-personas-en-proximos-3-meses/economia/,3/5/2016 12:52,1486,329,1559
265769886798719_1168395423202823,"El INA, el crecimiento del país y la reducción del déficit  son parte de los temas reales que no calzan con el discurso de Solís",6 inconsistencias de la rendición de cuentas de Solís | Crhoy.com,link      ,http://www.crhoy.com/6-inconsistencias-de-la-rendicion-de-cuentas-de-solis/nacionales/,3/5/2016 12:29,130,41,44
265769886798719_1168380273204338,(VIDEO) ¡Fue todo un espectáculo natural!,¡Llovieron flores en Jacó! | Crhoy.com,link      ,http://www.crhoy.com/llovieron-flores-en-jaco/tecnologia/ambiente/,3/5/2016 12:04,13548,422,1342
265769886798719_1168379593204406,¡No pierda la oportunidad de estudiar!,¿Quiere estudiar? Así puede conseguir el dinero para hacerlo | Crhoy.com,link      ,http://www.crhoy.com/quiere-estudiar-asi-puede-conseguir-el-dinero-para-hacerlo/economia/,3/5/2016 12:04,100,10,36
265769886798719_1168351449873887,La hija de uno de los implicados permitió el ingreso de la policía a la vivienda donde se encontraban para realizar la detención.,Hija entregó a su papá sospechoso de asaltar a taxista | Crhoy.com,link      ,http://www.crhoy.com/hija-entrego-a-su-papa-sospechoso-de-asaltar-a-taxista/nacionales/,3/5/2016 11:21,996,31,18
265769886798719_1168342876541411,Vea el video,Video capta aparatoso choque que involucró carro y 2 motos | Crhoy.com,link      ,http://www.crhoy.com/video-capta-aparatoso-choque-que-involucro-carro-y-2-motos/nacionales/,3/5/2016 11:04,74,19,12
